root_threshold,leaves120,leaves140,leaves240,refinements,coarsenings
1,31228,32635,30801,71361,66961
2,29961,31900,28967,118840,114702
3,28561,31102,24865,137652,134100
4,27826,28918,18446,111725,109090
5,26027,27791,10753,103240,101704
6,24368,26209,12314,97916,96157
7,22898,23668,1,60366,60366
8,21141,21148,1,55551,55551
9,22940,19685,1,51684,51684
10,17802,17746,1,49512,49512
11,7498,15149,428,44041,43980
12,8,8,1,159,159
13,8,8,1,149,149
14,8,1,1,124,124
15,8,1,1,121,121
16,8,1,1,120,120
17,8,1,1,116,116
18,8,1,1,114,114
19,8,1,1,107,107
20,8,1,1,103,103
21,8,1,1,103,103
22,8,1,1,102,102
23,8,1,1,101,101
24,8,1,1,101,101
25,8,1,1,99,99
26,8,1,1,96,96
27,8,1,1,96,96
28,8,1,1,95,95
29,8,1,1,94,94
30,8,1,1,94,94
31,8,1,1,93,93
32,8,1,1,91,91
33,8,1,1,89,89
34,8,1,1,89,89
35,8,1,1,88,88
40,8,1,1,82,82
45,8,1,1,79,79
50,8,1,1,72,72
