root_threshold,leaves120,leaves140,leaves240,refinements,coarsenings
0.05,31410,32586,31403,65886,61400
0.15,29443,30675,27217,165587,161699
0.2,27945,29730,25481,169665,166025
0.25,25859,29086,21596,170234,167149
0.3,24697,27609,19216,165224,162479
0.35,22331,25117,15527,160696,158478
0.4,22233,23850,13889,153451,151467
0.45,18719,22933,9969,141105,139681
0.55,16612,19895,4222,120461,119858
0.6,15765,19013,4761,117168,116488
0.65,14715,18026,4789,108409,107725
0.7,9276,10494,974,70576,70437
0.75,15870,14785,659,63895,63801
0.8,12027,13175,442,66231,66168
0.85,12559,12916,190,52297,52270
0.9,10494,10494,64,44780,44771
1.25,5734,4068,15,23219,23217
1.5,4124,2269,204,14963,14934
1.75,2486,1044,155,8146,8124
2.5,435,239,8,2424,2423
3.0,344,29,1,645,645
4.0,64,8,1,315,315
6.0,8,8,1,162,162
8.0,8,8,1,145,145
12.0,8,8,1,130,130
15.0,8,1,1,103,103
20.0,8,1,1,88,88
25.0,8,1,1,77,77
30.0,1,1,1,24,24
40.0,1,1,1,18,18
50.0,1,1,1,17,17
