step,level,count,p50,p90,p99,max,above100,meanChildCurvature,childMeansAbove100,aboveAdaptiveThreshold,childMeansAboveAdaptiveThreshold
0,0,1,0,0,0,0,0,0,0,0,0
0,1,8,0,0,0,0,0,0,0,0,0
0,2,64,0,0,0,0,0,0,0,0,0
0,3,512,0,0,0,0,0,0,0,0,0
0,4,4096,0,0,0,0,0,0,0,0,0
0,5,32768,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0.00961299334,0,0,0
1,1,8,0.00961299427,0.00961299427,0.00961299427,0.00961299427,0,0.00446321117,0,0,0
1,2,64,0.0027465818,0.0192259885,0.0192264076,0.0192264076,0,0.00523569511,0,0,0
1,3,512,0.0054931636,0.0054931636,0.0384536535,0.0384536535,0,0.00954867396,0,0,0
1,4,4096,0.0109863272,0.0109863272,0.0109863272,0.0769106597,0,0.0188666701,0,0,0
1,5,32768,0.0219726544,0.0219726544,0.0219726544,0.153868258,0,0,0,0,0
2,0,1,0,0,0,0,0,0.00549339363,0,0,0
2,1,8,0.00549307931,0.00549370795,0.00549370795,0.00549370795,0,0.00686649635,0,0,0
2,2,64,0.0054931636,0.0109869968,0.0137329083,0.0137329083,0,0.0139904248,0,0,0
2,3,512,0.0164794903,0.0164794903,0.02197567,0.0274658166,0,0.027980836,0,0,0
2,4,4096,0.0329589806,0.0439453088,0.0549316332,0.0549500734,0,0.0566912025,0,0,0
2,5,32768,0.0659179613,0.0878906175,0.109863266,0.110014141,0,0,0,0,0
3,0,1,0,0,0,0,0,0.00961362291,0,0,0
3,1,8,0.00961320382,0.00961404201,0.00961404201,0.00961404201,0,0.00377670699,0,0,0
3,2,64,0.0027465818,0.0192272458,0.0219739936,0.0219739936,0,0.00523572398,0,0,0
3,3,512,0,0.0109863272,0.0384544916,0.0439496636,0,0.0112224271,0,0,0
3,4,4096,0.0109863272,0.0219726544,0.0439453088,0.0879194438,0,0.0227398276,0,0,0
3,5,32768,0.0219726544,0.0659179613,0.0878906175,0.176019937,0,0,0,0,0
4,0,1,0,0,0,0,0,0.00961383339,0,0,0
4,1,8,0.00961362291,0.00961404201,0.00961404201,0.00961404201,0,0.00240345811,0,0,0
4,2,64,0,0.0192272458,0.019228084,0.019228084,0,0.000600877625,0,0,0
4,3,512,0,0,0.0384528153,0.0384595208,0,0.000150281616,0,0,0
4,4,4096,0,0,0,0.0769458637,0,3.76309763e-05,0,0,0
4,5,32768,0,0,0,0.154139832,0,0,0,0,0
5,0,1,0,0,0,0,0,0.0109869977,0,0,0
5,1,8,0.0109869968,0.0109869968,0.0109869968,0.0109869968,0,0.00823987101,0,0,0
5,2,64,0.0054931636,0.0219739936,0.0247199051,0.0247199051,0,0.0145913518,0,0,0
5,3,512,0.0109863272,0.0219726544,0.0439546928,0.0494465157,0,0.0294829449,0,0,0
5,4,4096,0.0219726544,0.0439453088,0.0659179613,0.0989332646,0,0.0592983633,0,0,0
5,5,32768,0.0439453088,0.109863266,0.131835923,0.198121339,0,0,0,0,0
6,0,1,0,0,0,0,0,0.00823940989,0,0,0
6,1,8,0.00823940989,0.00823940989,0.00823940989,0.00823940989,0,0.00343310146,0,0,0
6,2,64,0.0027465818,0.0164788198,0.0192247313,0.0192247313,0,0.00798244716,0,0,0
6,3,512,0,0.0219726544,0.0329589806,0.0329676978,0,0.0208784206,0,0,0
6,4,4096,0.0109863272,0.0549316332,0.0988769382,0.131835923,0,0.0424863022,0,0,0
6,5,32768,0.0219726544,0.109863266,0.197753876,0.263671845,0,0,0,0,0
7,0,1,0,0,0,0,0,0.00961320382,0,0,0
7,1,8,0.00961320382,0.00961320382,0.00961320382,0.00961320382,0,0.00515000836,0,0,0
7,2,64,0.0054931636,0.019228084,0.0247199051,0.0247199051,0,0.00987072747,0,0,0
7,3,512,0,0.0219726544,0.0439453088,0.0494532213,0,0.0222946479,0,0,0
7,4,4096,0.0219726544,0.0439453088,0.0878906175,0.109863266,0,0.0454420954,0,0,0
7,5,32768,0.0439453088,0.131835923,0.175781235,0.219726533,0,0,0,0,0
8,0,1,0,0,0,0,0,0.00823940989,0,0,0
8,1,8,0.00823940989,0.00823940989,0.00823940989,0.00823940989,0,0.0041201869,0,0,0
8,2,64,0.0054931636,0.0109869968,0.0164838489,0.0164838489,0,0.00961321969,0,0,0
8,3,512,0,0.0219726544,0.0439453088,0.0439453088,0,0.0222302841,0,0,0
8,4,4096,0.0219726544,0.0439453088,0.0878906175,0.109863266,0,0.045426029,0,0,0
8,5,32768,0.0439453088,0.131835923,0.175781235,0.219726533,0,0,0,0,0
9,0,1,0,0,0,0,0,0.00824108627,0,0,0
9,1,8,0.00824108627,0.00824108627,0.00824108627,0.00824108627,0,0.00206048111,0,0,0
9,2,64,0,0.0164821725,0.0164855253,0.0164855253,0,0.000515120279,0,0,0
