[INFO] Logging TraceLog output to fps_ray.log
[INFO] [Smush] activated units=18 activator=0 region=(0..2,4..6,4..6)
[WARN] [Multiscale] Static restore failed: no free cells near (-2.00, -1.07, 2.24)
[WARN] [Multiscale] Static restore failed: no free cells near (2.69, -1.16, 2.43)
[WARN] [Multiscale] Static restore failed: no free cells near (1.20, -0.95, 2.64)
[WARN] [Multiscale] Static restore failed: no free cells near (1.47, -0.77, 2.08)
[WARN] [Multiscale] Static restore failed: no free cells near (0.10, -1.86, 0.53)
[WARN] [Multiscale] Static restore failed: no free cells near (-0.40, -1.33, 0.38)
[WARN] [Multiscale] Static restore failed: no free cells near (2.47, -1.92, 2.04)
[WARN] [Multiscale] Static restore failed: no free cells near (0.25, -1.68, 0.13)
[WARN] [Multiscale] Static restore failed: no free cells near (-0.12, -1.45, -0.01)
[WARN] [Multiscale] Static restore failed: no free cells near (0.21, -2.17, 0.12)
[WARN] [Multiscale] Static restore failed: no free cells near (2.46, -2.17, 1.09)
[WARN] [Multiscale] Static restore failed: no free cells near (1.48, -1.53, 1.24)
[WARN] [Multiscale] Static restore failed: no free cells near (-0.22, -0.92, 0.26)
[WARN] [Multiscale] Static restore failed: no free cells near (0.19, -1.41, 0.52)
[WARN] [Multiscale] Static restore failed: no free cells near (1.27, -2.32, 0.60)
[WARN] [Multiscale] Static restore failed: no free cells near (2.86, -1.30, 2.17)
[WARN] [Multiscale] Static restore failed: no free cells near (1.56, -1.55, 0.80)
[WARN] [Multiscale] Static restore failed: no free cells near (2.24, -2.93, 2.54)
[WARN] [Multiscale] Static restore failed: no free cells near (2.39, -1.32, 1.07)
[WARN] [Multiscale] Static restore failed: no free cells near (2.11, -1.29, 2.69)
[WARN] [Multiscale] Static restore failed: no free cells near (1.71, -1.70, 1.03)
[WARN] [Multiscale] Static restore failed: no free cells near (2.44, -2.51, 1.10)
[WARN] [Multiscale] Static restore failed: no free cells near (2.66, -1.06, -2.00)
[WARN] [Multiscale] Static restore failed: no free cells near (-0.24, -1.95, 0.02)
[WARN] [Multiscale] Static restore failed: no free cells near (1.33, -1.73, 1.01)
[WARN] [Multiscale] Static restore failed: no free cells near (1.50, -2.00, 1.09)
